Index,Author,Title,Publication,Volume,Issue,Year,Pages,Multiple_Tools,DOI,File_Type,Tool_Name,Tool_Type,Organization/Group,University/Institute,Distribution_Method,Article_Purpose,File_Name,Text_File,File_Path,Notes,Problematic,
272,"Eisinger, Marc",On a Vocubulary Data Base,Computers and the Humanities,14,1,1980,49-55,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v14 n1 p49-55.pdf,CHUM-v14-n1-p49-55.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"Describes the creation of a vocabulary database, including disambiguation based on inflection, of Nahuatl.",-,
273,"Busa, R.",The Annals of Humanities Computing: The Index Thomisticus,Computers and the Humanities,14,2,1980,83-90,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v14 n2 p83-90.pdf,CHUM-v14-n2-p83-90.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"Describes Father Roberto Busa's work concording the works of Thomas Aquinas, the Index Thomisticus",-,
274,"Potter, Rosanne G.",Toward a Syntactic Differentiation of Period Style in Modern Drama: Significant Between-Play Variability in 21 English-Language Plays,Computers and the Humanities,14,3,1980,187-196,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v14 n3 p187-196.pdf,CHUM-v14-n3-p187-196.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"Describes an investigation into style in modern English-language plays, and inter-play variability.",-,
275,"Morton, A.G.",The Annals of Computing: The Greek Testament,Computers and the Humanities,14,3,1980,197-199,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v14 n3 p197-199.pdf,CHUM-v14-n3-p197-199.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes a computer-based analysis of the Greek Testament.,-,
276,"Brainerd, B.",The Chronology of Shakespeare's Plays: A Statistical Study,Computers and the Humanities,14,4,1980,221-230,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v14 n4 p221-230.pdf,CHUM-v14-n4-p221-230.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"Using lexical, metrical and structural variables to investigate the chronology of Shakespeare's plays via statistics.",-,
277,"Guinn, Dorothy Margaret",The Making of a Masterpiece: Stephen Crane's the Red Badge of Courage,Computers and the Humanities,14,4,1980,231-239,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v14 n4 p231-239.pdf,CHUM-v14-n4-p231-239.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes a study tracing the changes to Crane's grammatical style as he revised The Red Badge of Courage from initial to final draft.,-,
278,"Thomas, Alan R.",Computer Analysis of a Dialectal Transition Belt,Computers and the Humanities,14,4,1980,241-251,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v14 n4 p241-251.pdf,CHUM-v14-n4-p241-251.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Use of computers to trace thegeographic delineation between dialects.,-,
279,"Parunak, H. Van Dyke",Prolegomena to Pictorial Concordances,Computers and the Humanities,15,1,1981,15-36,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v15 n1 p15-36.pdf,CHUM-v15-n1-p15-36.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"Comparing traditional and pictorial concordances, and exploring the challenges of pictorial concordances.",-,
280,"Ross Jr., Donald",Aids for Editing Walden,Computers and the Humanities,15,3,1981,155-162,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v15 n3 p155-162.pdf,CHUM-v15-n3-p155-162.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"Creating a finalized, reconciled edition of a text for further study.",-,
281,"Krause, Wolfgang; Willee, Gerd",Lemmatizing German Newspaper Texts with the Aid of an Algorithm,Computers and the Humanities,15,2,1981,101-113,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v15 n2 p101-113.pdf,CHUM-v15-n2-p101-113.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Lemmatizaiton of German newspapers.,-,
282,"Faulkner, Thomas C.",Computer Applications for an Edition of Robert Burton's The Anatomy of Melancholy: A System of Scholarly Pubishing,Computers and the Humanities,15,3,1981,163-182,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v15 n3 p163-182.pdf,CHUM-v15-n3-p163-182.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,On the challenges of creating a scholarly edition.,-,
283,"Chisholm, David",Phonology and Style: A Computer-Assisted Approach to German Verse,Computers and the Humanities,15,4,1981,199-210,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v15 n4 p199-210.pdf,CHUM-v15-n4-p199-210.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"Phonology and style in German verse, to tease out the structure of lyric verse.",-,
284,"Anderson, C.W.; McMaster, G.E.",Computer Assisted Modeling of Affective Tone in Written Documents,Computers and the Humanities,16,1,1982,1-9,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v16 n1 p1-9.pdf,CHUM-v16-n1-p1-9.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Using textual analysis to model tone.,-,
285,"Pearce, Alastair",Troubadours and Transposition: A Computer-Aided Study,Computers and the Humanities,16,1,1982,11-18,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v16 n1 p11-18.pdf,CHUM-v16-n1-p11-18.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Examining transposition of musical phrases. ,*,
286,"Milic, Louis T. ",The Annals of Computing: Stylistics,Computers and the Humanities,16,1,1982,19-24,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v16 n1 p19-24.pdf,CHUM-v16-n1-p19-24.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Using computers to study stylistics.,-,
287,"Lee, Georges; LeLouche, Ruddy; Meissonnier, Vincent; Ornato, Monique; Zarri, Gian Piero; Zarri-Baldi, Lucia","Artificial Intelligence, History and Knowledge Representation",Computers and the Humanities,16,1,1982,25-34,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v16 n1 p25-34.pdf,CHUM-v16-n1-p25-34.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,On the applications of artificial intelligence and knowledge representation techniques to humanistic research.,-,
288,"Usher, Stephen; Najock, Dietmar",A Statistical Study of Authorship in the Corpus Lysiacum,Computers and the Humanities,16,2,1982,85-105,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v16 n2 p85-105.pdf,CHUM-v16-n2-p85-105.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Using statistics to explore authorship in the Corpus Lysiacum.,-,
289,"Van Arkel, Andrea",Automatic Expansion of Abbreviations: An Experiment with Old Icelandic,Computers and the Humanities,16,3,1982,157-164,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v16 n3 p157-164.pdf,CHUM-v16-n3-p157-164.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"Using an Old Icelandic text to experiment with text expansion, for application to other older manuscripts with frequent abbreviation.",-,
290,"Burton, Dolores M.",Automated Concordances and Word-Indexes: Machine Decisions and Editorial Revisions,Computers and the Humanities,16,4,1982,195-218,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v16 n4 p195-218.pdf,CHUM-v16-n4-p195-218.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"On the ways in which automated cocordance and indexing has progessed since its early days, and the decision-making process involved in creating one.",-,
291,"Lamarra, Antonio",Computers and the Philosophical Lexicography: The Activities of the Lessico Intellettuale Europeo,Computers and the Humanities,16,4,1982,229-243,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v16 n4 p229-243.pdf,CHUM-v16-n4-p229-243.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"On the research conducted by the Lessico Intellecttuale Europea, particularly philosophical lexicography.",-,
292,"Boot, M.; Lourens, P.; Lucassen, J.",A Linguistic Preprocessor for Record Linkage in Socio-Economic Historical Research,Computers and the Humanities,17,2,1983,45-64,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v17 n2 p45-64.pdf,CHUM-v17-n2-p45-64.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes a linguistic preprocessor for use in historical research.,-,
293,"McColly, William; Weier, Dennis",Literary Attribution and Likelihood-Ratio Tests: The Case of the Middle English Pearl Poems,Computers and the Humanities,17,2,1983,65-75,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v17 n2 p65-75.pdf,CHUM-v17-n2-p65-75.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes the use of literary attribution studies to assign the likelihood of authorship to the works attributed to the Pearl Poet.,-,
294,"Cercone, Nick; Goebel, Randy",Data Bases and Knowledge Representation for Literary and Linguistic Studies,Computers and the Humanities,17,3,1983,121-137,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v17 n3 p121-137.pdf,CHUM-v17-n3-p121-137.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"On database management and knowledge representation in literary and linguistic studies, describing models and applications.",-,
295,"Marshall, Ian",Choice of Grammatical Word-Class Without Global Syntactic Analysis: Tagging Words in the LOB Corpus,Computers and the Humanities,17,3,1983,139-150,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v17 n3 p139-150.pdf,CHUM-v17-n3-p139-150.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Annotating and tagging words in 500 texts within the LOB corpus.,-,
296,"Galloway, Patricia",Narrative Theories as Computational Models: Reader-Oriented Theory and Artificial Intelligence,Computers and the Humanities,17,4,1983,169-174,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v17 n4 p169-174.pdf,CHUM-v17-n4-p169-174.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes how narrative theories can be used to construct computational models.,-,
297,"Karttunen, Frances; Amsler, Robert A.",Computer-Assisted Complilation of a Nahuatl Dictionary,Computers and the Humanities,17,4,1983,175-184,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v17 n4 p175-184.pdf,CHUM-v17-n4-p175-184.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes the data-processing behind the creation of an analytic Nahuatl (Aztec) dictionary.,-,
298,"Chandrasekaran, R.; Chandrasekaran, M.; Siromoney, Gift",Computer Dating of Medieval Inscriptions: South Indian Tamil,Computers and the Humanities,17,4,1983,199-208,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v17 n4 p199-208.pdf,CHUM-v17-n4-p199-208.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Applying computer-assisted dating to medieval South Indian Tamil inscriptions,-,
299,"Burras, Victoria A.",Procedures and Progress on the Dictionary of the Old Spanish Language,Computers and the Humanities,17,4,1983,209-213,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v17 n4 p209-213.pdf,CHUM-v17-n4-p209-213.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes the process and procedures utilized in the creation of an Old Spanish dictionary.,-,
300,"Martinsdale, Colin",Evolutionary Trends in Poetic Style: The Case of English Metaphysical Poetry,Computers and the Humanities,18,1,1984,3-21,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v18 n1 p3-21.pdf,CHUM-v18-n1-p3-21.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Tracing changes to poetic style in English metaphysical poetry.,-,
301,"Smith, M.W.A.","The Authorship of ""A Lover's Complaint"": An Application of Statistical Stylometry to Poetry",Computers and the Humanities,18,1,1984,23-37,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v18 n1 p23-37.pdf,CHUM-v18-n1-p23-37.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes research applying statistical stylometry to Shakespeare's poetry.,-,
302,"Marchuk, Yu. N.",Machine Translation in the U.S.S.R.,Computers and the Humanities,18,1,1984,39-46,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v18 n1 p39-46.pdf,CHUM-v18-n1-p39-46.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes the forms machine translation have taken in the U.S.S.R.,-,
303,"Burns, Hugh",The Challenge for Computer-Assisted Rhetoric,Computers and the Humanities,18,3-4,1984,173-181,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v18 n3-4 p173-181.pdf,CHUM-v18-n3-4-p173-181.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"Explores computer-assisted rhetoric, i.e., original compositions drafted with direct computer assistance. Posits an intelligent word-processor capable of prompting the writer as needed. Includes commentary on stylistics, etc.",-,
304,"Culley, Gerald R.",Generic or Specific: Having it Both Ways with Generative CAI,Computers and the Humanities,18,3-4,1984,183-188,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v18 n3-4 p183-188.pdf,CHUM-v18-n3-4-p183-188.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"Describes computer-assisted instruction, including the ways in which it employs natural language processing.",-,
305,"Smith, M.W.A.",An Investigation of Morton's Method to Distinguish Elizabethan Playwrights,Computers and the Humanities,19,1,1985,3-21,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v19 n1 p3-21.pdf,CHUM-v19-n1-p3-21.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"Describes the use of computers to investigate Morton's Method by applying it to Elizabethan playwrights (Shakespeare, More, Munday, etc.).",-,
306,"Johansson, Stig",Word Frequency and Text Type: Some Observations Based on the LOB Corpus of British English Texts,Computers and the Humanities,19,1,1985,23-36,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v19 n1 p23-36.pdf,CHUM-v19-n1-p23-36.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Reports on the application of word frequency and text type studies to the LOB corpus.,-,
307,"Lagrange, Marie-Salome; Renaud, Monique",Intelligent Knowledge-based Systems in Archaeology: A Computerized Simulation of Reasoning by Means of An Expert System,Computers and the Humanities,19,1,1985,37-52,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v19 n1 p37-52.pdf,CHUM-v19-n1-p37-52.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"Describes a knowledge system in archaeology, and how computer analysis of the complex data represented has enhanced interpretation.",-,
308,"Lehmann, W.P.; Bennett, Winifield S.",Human Language and Computers,Computers and the Humanities,19,2,1985,77-83,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v19 n2 p77-83.pdf,CHUM-v19-n2-p77-83.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,On the problems of computer interpretation of human language.,-,
309,"Danielson, Wayne A.",The Writer and the Computer,Computers and the Humanities,19,2,1985,85-88,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v19 n2 p85-88.pdf,CHUM-v19-n2-p85-88.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,On the use of computers to writers. Includes commentary on the effect of computers on writers and their writing.,*,
310,"Sedelow, Sally Yeates",Computational Lexicography,Computers and the Humanities,19,2,1985,97-101,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v19 n2 p97-101.pdf,CHUM-v19-n2-p97-101.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Explores computational lexicography.,-,
311,"Schneider, Thomas",Terminology: Teaming Up Homo Faber and Homo Linguisticus,Computers and the Humanities,19,2,1985,103-108,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v19 n2 p103-108.pdf,CHUM-v19-n2-p103-108.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"On developing terminology, syntax and discourse for computer-based analysis.",-,
312,"Slocum, Jonathan",Machine Translation,Computers and the Humanities,19,2,1985,109-116,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v19 n2 p109-116.pdf,CHUM-v19-n2-p109-116.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes machine translation as a subset of NLP in terms of its history and where it is going in its fourth decade of practice.,-,
313,"Rich, Elaine",Artificial Intelligence and the Humanities,Computers and the Humanities,19,2,1985,117-122,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v19 n2 p117-122.pdf,CHUM-v19-n2-p117-122.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes the places where the study of AI overlaps with and can assist the humanities.,-,
314,"Wall, Robert","The ""New"" Logics and Natural Language Processing",Computers and the Humanities,19,2,1985,123-129,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v19 n2 p123-129.pdf,CHUM-v19-n2-p123-129.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes an approach to logic called 'model theory' and its application to NLP.,-,
315,"Choueka, Yaacov; Lusignan, Serge",Disambiguation by Short Contexts,Computers and the Humanities,19,3,1985,147-157,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v19 n3 p147-157.pdf,CHUM-v19-n3-p147-157.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes a technique for disambiguation utilizing short context lengths. ,-,
316,"Daly, Peter M.",Processing Emblems with the Computer,Computers and the Humanities,19,3,1985,159-166,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v19 n3 p159-166.pdf,CHUM-v19-n3-p159-166.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes how European emblems (pictoral devices with symbolic meanings accompanied by mottos) can be described via computer.,-,
317,"Bolton, W.F.",A Poetic Formula in Beowulf and Seven Other Old English Poems: A Computer Study,Computers and the Humanities,19,3,1985,167-173,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v19 n3 p167-173.pdf,CHUM-v19-n3-p167-173.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Use of computers to determine poetic formula in Old English.,-,
318,"Logan, H.M.","""Most by Numbers Judge a Poet's Song"": Measuring Sound Effects in Poetry",Computers and the Humanities,19,4,1985,213-220,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v19 n4 p213-220.pdf,CHUM-v19-n4-p213-220.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Use of computers to study the sound texture of word choice in poetry.,-,
319,"Nardoccio, Elaine",Structural Analysis of Drama: Practical and Theoretical Implications,Computers and the Humanities,19,4,1985,221-223,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v19 n4 p221-223.pdf,CHUM-v19-n4-p221-223.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes how a hand procedure used to analyze the structure of drama was converted to a computer-based procedure.,-,
320,"Cercone, Nick; Murchison, Carole",Integrating Artificial Intelligence into Literary Research: An Invitation to Discuss Design Specificaiton,Computers and the Humanities,19,4,1985,235-243,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v19 n4 p235-243.pdf,CHUM-v19-n4-p235-243.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes three specific realms in which SSHRC was interested in the impact of AI on humanities research.,-,
321,"Healey, Antonette diPaolo",The Dictionary of Old English and the Final Design of Its Computer System,Computers and the Humanities,19,4,1985,245-249,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v19 n4 p245-249.pdf,CHUM-v19-n4-p245-249.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes the process behind and design of the Dictionary of Old English.,-,
322,"Anderson, C.W.; McMaster, G.E.",Modelling Emotional Tone in Stories Using Tension Levels and Categorical States,Computers and the Humanities,20,1,1986,3-9,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v20 n1 p3-9.pdf,CHUM-v20-n1-p3-9.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes computer-assisted studies onto emotional tone in text based on indicators of tension levels and categorical states.,-,
323,"LaVita, James; Lindow, John",Software Tools and the Folklore Archive: A Different Perspective,Computers and the Humanities,20,2,1986,97-106,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v20 n2 p97-106.pdf,CHUM-v20-n2-p97-106.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,On the application of software tools and digital archiving to folklore studies.,-,
324,"Catach, Nina",The Automatic Photeticization of the French Language,Computers and the Humanities,20,3,1986,159-166,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v20 n3 p159-166.pdf,CHUM-v20-n3-p159-166.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes how grapheme-phoneme conversion can be automated for French-language text.,-,
325,"Carbonell, N.; Haton, J.P.; Pierrel, J.M.",Artificial Intelligence in Speech Understanding: Two applications at C.R.I.N.,Computers and the Humanities,20,3,1986,167-172,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v20 n3 p167-172.pdf,CHUM-v20-n3-p167-172.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes how AI has been applied to NLP.,-,
326,"Thoiron, Philippe",Diversity Index and Entropy as Measures of Lexical Richness,Computers and the Humanities,20,3,1986,197-202,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v20 n3 p197-202.pdf,CHUM-v20-n3-p197-202.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes research into lexical richness utilizing a diversity index and entropy measures.,-,
327,"Muller, Pierre",A New Pedagogical Approach to the Study of Texts with a Microcomputer,Computers and the Humanities,20,3,1986,203-206,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v20 n3 p203-206.pdf,CHUM-v20-n3-p203-206.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes a new pedagogical approach to studying texts.,-,
328,"Leon, Jacqueline; Marandin, Jean-Marie",Sarrasine Revisited: A Perspective in Text-Analysis,Computers and the Humanities,20,3,1986,217-224,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v20 n3 p217-224.pdf,CHUM-v20-n3-p217-224.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,This article reports on an new examination of Balzac's short story Sarrasine utilizing computer-assisted text analysis.,-,
329,"Tuaillon, G.",How the French Dialectal Data Enter the Atlas Linguarum Europae,Computers and the Humanities,20,4,1986,247-252,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v20 n4 p247-252.pdf,CHUM-v20-n4-p247-252.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes additions to an atlas of European linguistic data.,-,
330,"Fossier, Lucie; Beaud, Marie-Josephe",Introducing the Institut de Recherche et d'Histoire des Texts (C.N.R.S.): Medieval book and computer,Computers and the Humanities,20,4,1986,267-268,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v20 n4 p267-268.pdf,CHUM-v20-n4-p267-268.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes the CNRS and its work researching medieval manuscripts and computer-based analysis.,-,
331,"Guillamont, Agnes; Minel, Jean-Luc",MEDIUM: Realities and Projects,Computers and the Humanities,20,4,1986,269-271,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v20 n4 p269-271.pdf,CHUM-v20-n4-p269-271.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"An alternate perspective on CNRS and its activities, including its choice of architecture and some criticism.",-,
332,"Guenoche, Alain",Graphical Representation of a Boolean Array,Computers and the Humanities,20,4,1986,277-281,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v20 n4 p277-281.pdf,CHUM-v20-n4-p277-281.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes a method of representing boolean arrays.,-,
333,"Rolf, P.C.; Chauche, J.",Machine Translation and the SYGMART System,Computers and the Humanities,20,4,1986,283-288,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v20 n4 p283-288.pdf,CHUM-v20-n4-p283-288.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes a system for machine translation and the challenges inherent in NLP.,-,
334,"Popesco, Liana",Limited Context Semantic Translation from a Single Knowledge-Base for a Natural Language and Structuring Metarules,Computers and the Humanities,20,4,1986,289-295,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v20 n4 p289-295.pdf,CHUM-v20-n4-p289-295.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes an experimental system for multilanguage semantic translations from short texts.,-,
335,"Smith, M.W.A.",The Revenger's Tragedy: The Derivation and Interpretation of Statistical Results for Resolving Disputed Authorship,Computers and the Humanities,21,1,1987,21-55,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v21 n1 p21-55.pdf,CHUM-v21-n1-p21-55.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,This article reports on an examination of The Revenger's Tragedy attempting to resolve its disputed authorship via statistics.,-,
336,"Merriam, Thomas",An Investigation of Morton's Method: A Reply,Computers and the Humanities,21,1,1987,57-58,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v21 n1 p57-58.pdf,CHUM-v21-n1-p57-58.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Responding to M.W.A. Smith's article on Morton's Method applied to Elizabethan playwrights.,-,
337,"Smith, M.W.A.",Merriam's Applications of Morton's Methods,Computers and the Humanities,21,1,1987,59-60,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v21 n1 p59-60.pdf,CHUM-v21-n1-p59-60.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,M.W.A. Smith responds to Thomas Merriam regarding Morton's Method.,-,
338,"Weiner, E. Judith",Computational Considerations for the Processing of Explanatory Literal Analogies and Expressive Metaphors,Computers and the Humanities,21,2,1987,91-101,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v21 n2 p91-101.pdf,CHUM-v21-n2-p91-101.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes and explores the computational considerations behind analyzing for analogy and metaphor.,-,
339,"Hull, Glynda; Ball, Carolyn; Fox, James L.; Levin, Lori; McCutchen, Deborah",Computer Detection of Errors in Natural Language Texts: Some Research on Pattern-Matching,Computers and the Humanities,21,2,1987,103-118,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v21 n2 p103-118.pdf,CHUM-v21-n2-p103-118.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes research into pattern-matching in relation to NLP error detection.,-,
